,0,1,2,3,4,5,6,7,8,9
5,0.8018144146258128,0.8069111874438275,0.6821663991527073,0.2567716639164739,0.3844338103028082,0.03911122661406752,0.8435481009709858,0.1778933686732992,0.3885715565606309,0.578074398844183
10,0.8627192625150941,0.7867468006098823,0.7055560553278435,0.7567644612486472,0.8204079218096183,0.6110020691622287,0.6963381245363083,0.9309175443309357,0.7724400235531985,0.6893160076053567
15,0.7908694252081861,0.8229657960489034,0.7662683134386647,0.6098409510832495,0.6328718481436513,0.3875364055979008,0.566431504836858,0.8972034176301452,0.7516956001655679,0.6188838997048585
20,0.8914279604303476,0.6561122185174175,0.5628919793453766,0.6363407061220971,0.9042468588655271,0.8392915347577392,0.7096581297969689,0.715557685679509,0.6511687802393191,0.7643473828799331
25,0.6905776792266789,0.8894442230450221,0.902236787891081,0.6913588051723414,0.9422432771736953,0.9034654174047408,0.937716768373515,0.9150285438793089,0.7763130515471551,0.887232469768522
30,0.8991481200555551,0.9318842598264828,0.9250964447860204,0.853591769683604,0.920195684222166,0.8662603551062882,0.6786685103103556,0.8306142325919601,0.8487963842895822,0.911741382829498
35,0.8691697309053066,0.9414576243200139,0.96183500658818,0.9045388878958655,0.666367936981026,0.9294294811083256,0.8820444592216178,0.8455688449746268,0.9338423785567519,0.8745207702954281
40,0.8963868441222155,0.9782070750570431,0.9453478132094247,0.7892351238744082,0.9347634841220757,0.8078261705225126,0.9299946784976941,0.929670466424734,0.7111982722954403,0.7610579035658522
45,0.8009257190773925,0.7694491905719802,0.9655731341294296,0.9432696428743338,0.8842917779642073,0.9114470125819399,0.9419004892736902,0.8469132958084956,0.913538742928022,0.822257523334422
50,0.8400220994188901,0.8631694400748757,0.915385546829804,0.9063410890891234,0.8963289419462931,0.9509569040678778,0.9385618026174568,0.8198693707392085,0.8755871402551799,0.9453795290570725
